SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1485.00,1485.00,1455.15,1471.10,1470.00,1466.75,1251,10128,14865080.00,
500003,AEGIS LOGIS ,A ,Q,323.50,328.00,302.25,304.25,304.25,321.70,2159,32060,9992021.00,
500008,AMAR RAJA BA,A ,Q,903.00,908.40,890.75,892.75,893.55,896.25,3094,56687,51112660.00,
500009,A.SARABHAI  ,X ,Q,18.90,18.90,18.25,18.30,18.60,18.65,182,55101,1018479.00,
500010,HDFC        ,A ,Q,2640.00,2660.75,2557.30,2567.85,2568.20,2599.75,4357,76444,199183346.00,
500012,ANDHRA PETRO,X ,Q,68.00,69.00,66.50,66.95,67.00,68.25,557,155358,10485639.00,
500013,ANSAL INFRAS,B ,Q,8.40,8.71,7.97,8.00,8.00,8.38,144,28712,236229.00,
500014,UTIQUE      ,X ,Q,1.94,2.03,1.94,2.03,2.03,2.02,15,9030,18204.00,
500020,BOM DYEING  ,A ,Q,82.90,82.90,80.00,80.50,80.50,81.80,2563,455469,37035533.00,
500023,ASIANHOTNR  ,B ,Q,71.75,72.35,70.85,72.00,72.00,73.40,17,390,28100.00,
500027,ATUL LTD.   ,A ,Q,6681.00,6826.10,6681.00,6784.55,6784.55,6738.55,566,1763,11951702.00,
500028,ATV PROJECTS,XT,Q,4.90,4.90,4.52,4.72,4.72,4.70,26,4866,22852.00,
500029,AUTOLITE(I) ,Z ,Q,28.65,30.65,28.65,30.65,30.65,30.10,5,221,6493.00,
500031,BAJAJ ELECT.,A ,Q,1066.00,1066.00,1005.00,1023.05,1023.05,1014.30,586,5800,5933813.00,
500032,BAJAJHIND   ,A ,Q,7.46,7.85,7.29,7.43,7.43,7.45,2447,2045669,15533445.00,
500033,FORCE MOTR  ,A ,Q,1313.00,1322.35,1292.55,1296.05,1296.05,1309.15,345,2284,2992276.00,
500034,BAJFINANCE  ,A ,Q,5595.00,5668.15,5522.00,5554.65,5540.00,5541.15,9184,106360,595728859.00,
500038,BALRAM.CHINI,A ,Q,220.00,226.80,217.85,220.05,220.05,220.75,3878,213175,47543220.00,
500039,BANCO PROD. ,B ,Q,155.00,155.20,149.80,151.65,152.40,153.40,973,25146,3823072.00,
500040,CENTURY TEXT,A ,Q,512.65,516.05,494.05,499.95,499.95,512.65,2408,121099,61475619.00,
500041,BANNARI AMAN,A ,Q,1855.00,1855.00,1753.65,1778.70,1753.65,1829.30,52,211,381460.00,
500042,BASF INDIA  ,A ,Q,2273.70,2315.00,2234.80,2256.45,2256.95,2247.40,614,2820,6430314.00,
500043,BATA INDIA  ,A ,Q,1520.95,1538.40,1500.00,1504.10,1508.00,1505.60,1751,29087,44288878.00,
500048,BEML LTD    ,A ,Q,1455.00,1468.00,1392.95,1419.50,1419.50,1446.10,5394,87825,125630401.00,
500049,BHARAT ELECT,A ,Q,142.90,143.50,139.30,140.00,140.00,139.75,8246,975081,138143320.00,
500052,BHANSALI ENG,A ,Q,139.50,155.40,139.50,151.95,151.95,139.70,8719,373917,56146163.00,
500055,TATASTLBSL  ,B ,Q,47.85,48.00,45.90,46.40,46.40,46.75,2312,537738,25266490.00,
500060,BIRLACABLE  ,B ,Q,65.15,69.50,64.10,66.75,67.00,64.15,1266,69227,4709908.00,
500067,BLUE STAR   ,A ,Q,940.00,955.55,932.00,945.40,939.00,932.75,827,10965,10349548.00,
500068,DISA INDIA  ,X ,Q,4979.95,4979.95,4761.50,4843.55,4850.00,4850.00,54,237,1147315.00,
500069,BNK CAPITAL ,X ,Q,139.00,139.75,130.00,130.95,130.00,131.80,14,7369,964939.00,
500074,BPL LTD.    ,B ,Q,25.75,28.05,25.75,28.05,28.05,26.75,498,128427,3580228.00,
500078,OAL         ,B ,Q,607.75,608.65,581.05,590.75,592.65,600.95,259,1960,1166038.00,
500083,CENTURY EXT ,B ,Q,4.89,4.89,4.52,4.64,4.60,4.60,55,22454,103628.00,
500084,CESC LTD.   ,A ,Q,626.50,634.70,623.75,626.20,626.20,628.15,426,8190,5139236.00,
500085,CHAMBAL FERT,A ,Q,234.50,240.55,231.35,233.95,233.95,234.70,2671,155954,36648135.00,
500086,EXIDE IND.  ,A ,Q,204.05,205.45,200.25,201.45,201.45,202.55,1991,131047,26635379.00,
500087,CIPLA LTD.  ,A ,Q,812.30,817.60,802.05,806.20,806.20,812.20,1923,84019,68206860.00,
500089,DIC INDIA   ,B ,Q,415.00,429.90,412.15,418.60,424.90,428.20,127,883,374944.00,
500092,CRISIL LTD  ,A ,Q,1932.70,1937.95,1905.60,1910.45,1906.50,1922.70,393,1654,3182342.00,
500093,CGPOWER     ,B ,Q,61.50,63.00,60.70,61.55,61.55,61.50,1441,261359,16180052.00,
500096,DABUR (I)   ,A ,Q,531.45,534.65,520.00,523.00,523.00,531.15,2514,105145,55217755.00,
500097,DALMIASUG   ,A ,Q,172.00,178.20,172.00,172.45,173.90,171.75,4535,127264,22267154.00,
500101,ARVIND Ltd  ,A ,Q,75.85,76.70,73.40,74.60,75.00,75.85,1180,82613,6215179.00,
500102,BALARPUR IND,Z ,Q,1.24,1.28,1.20,1.28,1.28,1.22,599,3946348,4981767.00,
500103,BHEL        ,A ,Q,55.15,56.30,52.60,53.45,53.45,54.85,25240,17022128,919301381.00,
500104,HIND.PETRO  ,A ,Q,241.25,246.50,239.75,241.35,241.35,241.05,5269,565427,137433473.00,
500106,IFCI LTD    ,A ,Q,14.85,15.76,14.30,15.61,15.61,14.33,33714,14894314,229360166.00,
500108,MAHA.TELE   ,B ,Q,23.45,23.95,22.50,23.95,23.95,21.78,12212,7995218,189390483.00,
500109,MRPL        ,A ,Q,43.25,43.60,41.55,41.90,41.90,43.00,713,193789,8294467.00,
500110,CHENNAI PET.,A ,Q,114.95,115.55,111.00,111.75,112.00,114.35,914,75560,8546960.00,
500111,REL.CAP.    ,B ,Q,13.50,13.95,11.80,13.58,13.58,12.84,11270,5070862,66758354.00,
500112,STATE BANK  ,A ,Q,391.05,393.15,377.50,381.20,381.20,387.50,32571,2095957,808770261.00,
500113,STEEL AUTH. ,A ,Q,73.70,75.75,72.15,73.00,73.00,73.00,5160,2517148,186853008.00,
500114,TITAN       ,A ,Q,1482.00,1507.25,1478.70,1482.50,1482.50,1471.25,3582,78479,117173351.00,
500116,IDBI BANK L ,A ,Q,44.80,44.80,41.35,42.00,42.00,38.25,28840,11575062,494674991.00,
500117,DCW LTD.    ,B ,Q,31.60,31.90,29.75,29.90,29.90,31.05,1230,381437,11775176.00,
500119,DHAMPUR SUGA,A ,Q,193.00,201.00,191.00,192.55,192.55,195.95,668,29666,5822506.00,
