SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,36.9,37.6,36.55,37.35,37.55,36.45,126886,4714406.65,01-MAR-2021,607,INE144J01027,
21STCENMGM,EQ,11.95,11.95,11.95,11.95,11.95,11.75,2571,30723.45,01-MAR-2021,20,INE253B01015,
3IINFOTECH,EQ,6.3,6.45,6.05,6.45,6.45,6.15,7851294,50105580.3,01-MAR-2021,11122,INE748C01020,
3MINDIA,EQ,23175,24500,23174.9,24148.65,24352,22832.75,17103,406274691.5,01-MAR-2021,5491,INE470A01017,
3PLAND,EQ,9.15,9.95,9.15,9.55,9.25,9.2,13330,125420.85,01-MAR-2021,56,INE105C01023,
579GS2030,GS,99.92,99.92,99.92,99.92,99.92,105.12,6,599.52,01-MAR-2021,2,IN0020200070,
5PAISA,EQ,261.9,272.9,260.5,263.85,263.75,261,40788,10785954.35,01-MAR-2021,4765,INE618L01018,
63MOONS,EQ,79,83.5,79,80.85,80.95,80.8,92225,7537478.05,01-MAR-2021,1495,INE111B01023,
772GS2049,GS,119.86,119.86,119.86,119.86,119.86,119.86,3,359.58,01-MAR-2021,2,IN0020190032,
772GS2055,GS,108,108,108,108,108,113,123700,13359600,01-MAR-2021,1,IN0020150077,
795GS2032,GS,110.02,110.02,110.02,110.02,110.02,115.75,10,1100.2,01-MAR-2021,2,IN0020020106,
A2ZINFRA,EQ,4.2,4.3,4.1,4.15,4.15,4.2,226640,944946.35,01-MAR-2021,314,INE619I01012,
AAATECH,SM,42.05,42.05,42.05,42.05,42.05,42,6000,252300,01-MAR-2021,2,INE0D0U01013,
AAKASH,BE,125.95,127.9,123.5,127.9,127.9,125.5,11058,1386788.3,01-MAR-2021,102,INE087Z01016,
AARON,EQ,62,63,56.6,58.7,56.6,60.6,8244,500937.8,01-MAR-2021,214,INE721Z01010,
AARTIDRUGS,EQ,634,639.55,630.9,631.85,631.6,630.9,182237,115584896.75,01-MAR-2021,7474,INE767A01016,
AARTIIND,EQ,1236,1279.35,1226.75,1269.15,1272.5,1235,342259,430082202.05,01-MAR-2021,14912,INE769A01020,
AARTISURF,EQ,918.5,929.55,898,905.8,910,918.5,12679,11551306.05,01-MAR-2021,1544,INE09EO01013,
AARVEEDEN,EQ,18.4,18.55,17.85,18.1,18.25,17.95,6825,124112,01-MAR-2021,100,INE273D01019,
AARVI,EQ,52.4,53.95,52,52.75,53.35,53.45,8917,468326.5,01-MAR-2021,99,INE754X01016,
AAVAS,EQ,2288,2288,2250.95,2264.75,2254,2255.55,43000,97943234.9,01-MAR-2021,3487,INE216P01012,
ABAN,EQ,41.2,42.35,38.35,38.35,38.35,40.35,579518,22682859.45,01-MAR-2021,2336,INE421A01028,
ABB,EQ,1547,1559.85,1515,1525.2,1526.4,1528.15,61354,94006972.35,01-MAR-2021,6028,INE117A01022,
ABBOTINDIA,EQ,14450,14520,14250,14497.75,14500,14389.45,19828,285914697.55,01-MAR-2021,5613,INE358A01014,
ABCAPITAL,EQ,124.3,130.7,122.5,129.7,129.5,123.65,12882971,1649715148.8,01-MAR-2021,78154,INE674K01013,
ABFRL,EQ,186.05,196.9,182.45,192.85,193.75,183.6,7958240,1528139581.8,01-MAR-2021,58874,INE647O01011,
ABFRLPP1,E1,146.85,155.5,144.55,154.2,154.9,144.15,54881,8401477.85,01-MAR-2021,722,IN9647O01027,
ABMINTLTD,EQ,72.75,72.75,69.25,72.75,72.75,69.3,9133,654345.3,01-MAR-2021,148,INE251C01017,
ABSLBANETF,EQ,355.95,355.95,344.42,350,349.73,345.59,250,87590.54,01-MAR-2021,27,INF209KB1O58,
ABSLNN50ET,EQ,362.56,369.9,345.3,359,359,352,363,130794.96,01-MAR-2021,28,INF209KB1B87,
ABSLRIF6RG,MF,8.12,8.15,8.12,8.15,8.15,8.05,2900,23563,01-MAR-2021,2,INF209KB1LL4,
ACC,EQ,1754.4,1779.85,1725.7,1774.4,1771.2,1733.2,890744,1562440433.65,01-MAR-2021,34991,INE012A01025,
ACCELYA,EQ,893.75,905,890,896.45,894,893.75,3350,3004938.3,01-MAR-2021,510,INE793A01012,
ACCURACY,EQ,64.65,68,62.05,63.4,63.8,65,12591,807273.9,01-MAR-2021,128,INE648Z01015,
ACE,EQ,161.95,161.95,155,155.25,155.85,156.35,170729,26788383.95,01-MAR-2021,5320,INE731H01025,
ACRYSIL,EQ,322,322.45,320,322.45,322.45,307.1,24773,7983487.9,01-MAR-2021,199,INE482D01024,
ADANIENT,EQ,840.75,860.95,836.45,851.5,850,833.65,5996840,5092999166.4,01-MAR-2021,77419,INE423A01024,
ADANIGREEN,EQ,1170,1170,1130.15,1141,1144.8,1159.85,448402,514762896.9,01-MAR-2021,33363,INE364U01010,
